record_count,repetitions,open_ns_median,open_ns_ci_low,open_ns_ci_high,recover_ns_median,recover_ns_ci_low,recover_ns_ci_high
1000,30,6772020.5,6744500.5,6798416.5,2839625.0,2834125.0,2850187.0
10000,30,66183062.5,64024750.0,67661875.0,28435021.0,28119958.0,28767000.0
100000,30,665482729.5,658912770.5,673927604.0,295487209.0,293403687.5,298441395.5
