condition_id,repetition,mode_key,threads,prompt_bytes,requests,p50_us,p95_us,p99_us,throughput_rps
inline-0388,12,evidence:none,8,2048,1000,257.2085,282.4295,490.3775,30682.96443460885
inline-0389,0,policy_only,1,16384,1000,4.917,5.083,5.12541,200697.42354682522
inline-0390,0,policy_only,1,128,1000,0.125,0.292,0.33301,2116025.9340138473
inline-0391,17,evidence:none,4,128,1000,21.292,26.16905,30.016659999999984,44525.16560133529
inline-0392,13,evidence:none,8,2048,1000,264.2705,331.52709999999996,567.4243399999999,30161.32599564573
inline-0393,6,evidence:data,4,128,1000,16002.083,29096.134799999996,55089.07207999992,242.12343707051463
inline-0394,10,evidence:full,8,128,1000,32029.0,60967.1274,90033.3225,242.2766176720241
inline-0395,13,policy_only,1,2048,1000,1.125,1.292,1.375,621809.7274670146
inline-0396,5,policy_only,4,128,1000,0.167,0.542,0.8334199999999996,2239641.6573348264
inline-0397,13,evidence:data,8,128,1000,32009.1665,60993.47885,90195.84575,245.16491876337835
inline-0398,6,evidence:none,8,2048,1000,303.75,448.17115,538.3529199999999,24253.669125382374
inline-0399,11,evidence:data,8,128,1000,32054.3335,62481.9979,119002.40091999996,240.85863937208393
inline-0400,17,evidence:data,4,2048,1000,16029.979,29848.414599999996,39746.22916999999,229.1688980794529
inline-0401,1,policy_only,8,16384,1000,6.958,12.252049999999997,38.08342,736332.020944228
inline-0402,17,evidence:none,8,16384,1000,466.437,551.4327,604.36542,16598.038204833203
inline-0403,14,evidence:data,1,2048,1000,4022.9375,7101.2521,9462.26209,218.07305523676
inline-0404,6,evidence:data,8,16384,1000,41445.7705,55694.35625,84766.92893,173.31856706284609
inline-0405,2,evidence:data,8,16384,1000,32031.3955,37001.91249999998,59894.53342,244.38137436358127
inline-0406,4,evidence:full,4,2048,1000,16009.3125,21022.164249999998,29946.59708,245.39597525113763
inline-0407,15,policy_only,8,128,1000,0.416,2.254149999999996,38.960089999999994,860430.4389313798
inline-0408,17,evidence:none,4,16384,1000,233.0625,299.95144999999997,316.23508999999996,16191.054442420562
inline-0409,16,evidence:data,1,128,1000,4003.2085,4561.162199999996,8000.3917599999995,242.1412648715383
inline-0410,15,evidence:none,8,2048,1000,256.271,284.6857,479.87958999999995,31722.029750569047
inline-0411,9,evidence:full,1,128,1000,4001.667,4594.16105,6071.588329999994,243.67285658045776
inline-0412,16,evidence:data,4,16384,1000,16027.3335,18056.55625,28126.059159999993,242.94731535624427
inline-0413,12,policy_only,8,16384,1000,8.9375,14.588099999999997,26.633749999999992,571945.9373822149
inline-0414,0,policy_only,8,2048,1000,1.334,2.459,21.728579999999983,907543.9591605219
inline-0415,18,evidence:data,1,16384,1000,4129.542,5790.322899999999,7039.806249999998,219.67407616341862
inline-0416,13,evidence:none,8,128,1000,27.354,39.2101,6431.284499999993,32776.13897082923
inline-0417,4,evidence:data,8,128,1000,32071.167,85419.91874999992,158320.29499999998,209.1346676682823
inline-0418,10,evidence:data,8,2048,1000,32029.667,47862.59614999995,61979.95518,244.61278315128558
inline-0419,2,evidence:none,1,16384,1000,86.979,114.66454999999996,132.62341999999995,10817.345071955628
inline-0420,14,evidence:none,8,2048,1000,272.354,331.11664999999977,619.9729199999998,28453.61677764099
inline-0421,14,evidence:data,4,2048,1000,16011.979,18965.525,29001.270510000002,245.1021617980033
inline-0422,13,evidence:data,1,16384,1000,4035.271,5047.68305,6218.188249999998,232.87754733832898
inline-0423,6,evidence:data,4,2048,1000,16010.25,27936.860399999998,31887.26209,241.54926560752608
inline-0424,14,evidence:full,4,2048,1000,16015.5205,21117.293399999995,29944.42241,242.71203759029282
inline-0425,12,evidence:data,8,128,1000,31961.687,62061.049699999996,116078.32532999999,244.2180138488328
inline-0426,19,evidence:data,4,16384,1000,17514.2505,23901.21315,35191.812079999996,214.70952981001616
inline-0427,14,evidence:none,4,2048,1000,155.4375,248.84759999999986,383.5916699999998,23785.643589684612
inline-0428,4,evidence:data,8,16384,1000,32072.0415,52723.70864999999,71876.5937499999,227.70409715951664
inline-0429,3,evidence:data,1,128,1000,4001.604,4499.383,6071.0535,244.2525517043315
inline-0430,10,evidence:full,4,128,1000,15986.1045,29159.7857,52087.02225999998,242.0284379179056
inline-0431,18,evidence:full,4,16384,1000,16037.2915,19227.99375,29929.33491,238.58437634205427
inline-0432,7,evidence:data,8,2048,1000,32049.354,37990.70035,62102.84759,241.6030556021648
inline-0433,1,evidence:data,1,128,1000,4005.5,4910.955599999999,6475.336490000001,241.5950297137727
inline-0434,2,evidence:full,8,128,1000,32021.958,67887.41875,146115.66416999997,233.61296318332705
inline-0435,13,evidence:full,4,16384,1000,18383.104,30360.39999999995,43005.686169999986,191.68988564878464
inline-0436,8,evidence:full,4,128,1000,14009.771,25090.50805,34031.42416999996,281.7462090549585
inline-0437,19,evidence:data,4,128,1000,14942.3545,27933.591049999995,41951.24258999998,269.2691349042405
inline-0438,17,evidence:data,1,128,1000,3895.7085,4076.0003500000003,4405.835,278.83710060338836
inline-0439,4,evidence:full,4,16384,1000,15963.4795,25416.37529999993,47784.52350999999,235.0236261906921
inline-0440,2,evidence:data,1,16384,1000,4015.125,5099.333,7929.9199100000005,233.10231825208925
inline-0441,4,evidence:data,1,16384,1000,4017.5835,5081.5982,6850.740179999991,234.4736369041126
inline-0442,8,evidence:data,4,2048,1000,16021.7505,27993.74405,48072.118989999995,232.65165105256247
inline-0443,7,policy_only,4,2048,1000,1.209,1.6690499999999981,4.5,1380660.5356134481
inline-0444,14,evidence:data,8,2048,1000,32053.5625,64931.68125,131922.1619099999,211.29191536385392
inline-0445,10,policy_only,4,128,1000,0.25,0.709,1.1674099999999996,1876320.4605240938
inline-0446,11,evidence:data,4,16384,1000,19889.2915,27883.235099999998,36631.73124999999,188.16989366543396
inline-0447,17,evidence:data,8,16384,1000,32073.8125,40119.550349999976,59972.446990000004,239.18296768691994
inline-0448,9,policy_only,8,16384,1000,8.875,14.962149999999996,26.661249999999967,546871.5393285402
inline-0449,3,policy_only,8,2048,1000,1.083,5.5892499999999945,25.813329999999944,860153.6406432918
inline-0450,7,evidence:none,4,2048,1000,138.9585,163.42944999999997,222.36433999999994,28705.661988016935
inline-0451,12,evidence:data,8,16384,1000,32082.0625,40559.93749999999,46794.71967,239.09015199020735
inline-0452,10,evidence:none,1,128,1000,26.667,33.5,39.30308999999999,36215.099146801236
inline-0453,8,evidence:data,4,16384,1000,16062.8545,19195.20625,29317.893829999968,237.14295386330477
inline-0454,8,policy_only,8,128,1000,0.2915,0.7940499999999981,24.722169999999988,1169419.67548604
inline-0455,1,evidence:data,4,2048,1000,16018.292,27824.59965,35013.85634,239.6407401687973
inline-0456,2,evidence:full,8,2048,1000,32094.4795,63105.38749999998,85679.10999999996,226.86273089131672
inline-0457,0,evidence:full,4,16384,1000,19788.167,30766.20175,43395.65601,200.59869350074936
inline-0458,9,evidence:data,4,16384,1000,16032.292,28037.933049999996,33997.41375,237.64760241194512
inline-0459,3,evidence:full,8,2048,1000,32037.5,46789.991349999975,63028.852829999996,243.36313249263782
inline-0460,7,evidence:data,8,128,1000,32005.0835,61902.98155,91050.51374999998,244.9728358808773
inline-0461,19,policy_only,1,16384,1000,7.75,8.333,9.686999999999982,126825.09234452037
inline-0462,13,evidence:none,1,16384,1000,80.667,103.92325,111.04558999999999,11953.941558805454
inline-0463,14,policy_only,8,2048,1000,0.833,2.169099999999998,21.64874999999998,1721170.395869191
inline-0464,13,policy_only,8,16384,1000,6.042,10.055599999999988,40.11966999999985,698242.5932171318
inline-0465,9,evidence:full,4,16384,1000,16031.8755,19094.41315,28960.242259999995,240.24159419280676
inline-0466,15,evidence:full,8,128,1000,32035.208,60174.14195,65245.257079999894,244.34130234458542
inline-0467,10,evidence:none,8,16384,1000,479.375,691.76875,937.8283399999996,15414.71344263516
inline-0468,5,policy_only,8,16384,1000,6.25,10.294049999999997,19.546159999999997,837842.3214264768
