condition_id,run_id,record_count,shards,repetition,open_ns,recover_ns,recovered_count
recovery-100000,runtimeguard-v2-canonical-20260712-release,100000,4,1,647893958,287824375,100000
recovery-100000,runtimeguard-v2-canonical-20260712-release,100000,4,2,673643791,283609583,100000
recovery-100000,runtimeguard-v2-canonical-20260712-release,100000,4,3,647614208,290145125,100000
recovery-100000,runtimeguard-v2-canonical-20260712-release,100000,4,4,645386917,291144500,100000
recovery-100000,runtimeguard-v2-canonical-20260712-release,100000,4,5,653778584,297167209,100000
recovery-100000,runtimeguard-v2-canonical-20260712-release,100000,4,6,664171667,298110417,100000
recovery-100000,runtimeguard-v2-canonical-20260712-release,100000,4,7,647915750,298159833,100000
recovery-100000,runtimeguard-v2-canonical-20260712-release,100000,4,8,647126833,342421500,100000
recovery-100000,runtimeguard-v2-canonical-20260712-release,100000,4,9,657312791,292062750,100000
recovery-100000,runtimeguard-v2-canonical-20260712-release,100000,4,10,654131708,295495709,100000
recovery-100000,runtimeguard-v2-canonical-20260712-release,100000,4,11,654671458,293405000,100000
recovery-100000,runtimeguard-v2-canonical-20260712-release,100000,4,12,666793792,292251834,100000
recovery-100000,runtimeguard-v2-canonical-20260712-release,100000,4,13,672483333,310284000,100000
recovery-100000,runtimeguard-v2-canonical-20260712-release,100000,4,14,674006042,299686375,100000
recovery-100000,runtimeguard-v2-canonical-20260712-release,100000,4,15,675861000,296182875,100000
recovery-100000,runtimeguard-v2-canonical-20260712-release,100000,4,16,653615750,301358500,100000
recovery-100000,runtimeguard-v2-canonical-20260712-release,100000,4,17,669077917,292000834,100000
recovery-100000,runtimeguard-v2-canonical-20260712-release,100000,4,18,661021000,294914750,100000
recovery-100000,runtimeguard-v2-canonical-20260712-release,100000,4,19,664121416,299288417,100000
recovery-100000,runtimeguard-v2-canonical-20260712-release,100000,4,20,686163833,328275209,100000
recovery-100000,runtimeguard-v2-canonical-20260712-release,100000,4,21,675371875,294468666,100000
recovery-100000,runtimeguard-v2-canonical-20260712-release,100000,4,22,675603959,310449000,100000
recovery-100000,runtimeguard-v2-canonical-20260712-release,100000,4,23,690553375,304577167,100000
recovery-100000,runtimeguard-v2-canonical-20260712-release,100000,4,24,660512750,292869959,100000
recovery-100000,runtimeguard-v2-canonical-20260712-release,100000,4,25,661425625,293402375,100000
recovery-100000,runtimeguard-v2-canonical-20260712-release,100000,4,26,682483542,312088583,100000
recovery-100000,runtimeguard-v2-canonical-20260712-release,100000,4,27,671859792,295478709,100000
recovery-100000,runtimeguard-v2-canonical-20260712-release,100000,4,28,675684000,293934583,100000
recovery-100000,runtimeguard-v2-canonical-20260712-release,100000,4,29,688287375,298722958,100000
