condition_id,run_id,record_count,repetition,sampled_leaf_index,seal_epoch_ns,build_tree_ns,generate_proof_ns,verify_proof_ns,verify_signature_ns,root_matches,proof_valid,signature_valid
epoch-1000,runtimeguard-v2-canonical-20260712-release,1000,20,380,1049792,441292,167,2458,21917,true,true,true
epoch-1000,runtimeguard-v2-canonical-20260712-release,1000,21,299,1035791,437333,125,2375,22417,true,true,true
epoch-1000,runtimeguard-v2-canonical-20260712-release,1000,22,218,1033042,430792,167,2416,22417,true,true,true
epoch-1000,runtimeguard-v2-canonical-20260712-release,1000,23,137,1031459,431542,167,2416,22375,true,true,true
epoch-1000,runtimeguard-v2-canonical-20260712-release,1000,24,56,1032625,430833,125,2500,22291,true,true,true
epoch-1000,runtimeguard-v2-canonical-20260712-release,1000,25,975,1035583,430250,125,2375,22167,true,true,true
epoch-1000,runtimeguard-v2-canonical-20260712-release,1000,26,894,1035042,432084,125,2459,22666,true,true,true
epoch-1000,runtimeguard-v2-canonical-20260712-release,1000,27,813,988959,420125,166,2250,20834,true,true,true
epoch-1000,runtimeguard-v2-canonical-20260712-release,1000,28,732,961833,416000,167,2250,20916,true,true,true
epoch-1000,runtimeguard-v2-canonical-20260712-release,1000,29,651,991167,400416,125,2250,21000,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,0,0,9377875,4072666,208,3000,21458,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,1,7919,9636417,4134209,333,3083,20875,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,2,5838,9599542,3928208,417,3041,22667,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,3,3757,9427167,4016583,2459,3209,21916,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,4,1676,9390167,3996666,167,3000,20667,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,5,9595,9408416,4160209,250,3041,25042,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,6,7514,9479583,4031292,166,3375,22750,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,7,5433,9430750,4098625,1584,3000,20292,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,8,3352,9482208,3925125,333,3084,21666,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,9,1271,9256333,4066209,167,3083,20375,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,10,9190,10640833,4059875,583,3042,21041,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,11,7109,10560833,4119417,583,3084,21750,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,12,5028,9810500,4216959,291,3125,21125,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,13,2947,9794417,4207000,375,3167,21458,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,14,866,9604250,4404209,834,3625,27292,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,15,8785,9587000,4162791,458,3042,22000,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,16,6704,9733583,4196166,333,3125,21333,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,17,4623,9994459,4104583,416,3375,25625,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,18,2542,9537541,4149750,208,3292,23209,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,19,461,9595333,4108458,167,3000,20417,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,20,8380,9617458,3926708,458,3000,21792,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,21,6299,9157625,4026083,167,3000,20375,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,22,4218,9479042,4062292,167,3333,23041,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,23,2137,9497750,4050666,167,3000,20375,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,24,56,9508709,4191416,250,3417,23167,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,25,7975,9703250,4097292,333,3000,20583,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,26,5894,9696250,4133083,458,3459,22334,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,27,3813,9624958,4103625,333,3375,23583,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,28,1732,9997333,3959500,542,3041,23542,true,true,true
epoch-10000,runtimeguard-v2-canonical-20260712-release,10000,29,9651,9248917,4103333,459,3083,28000,true,true,true
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,0,0,95497416,41055750,1000,3625,26167,true,true,true
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,1,7919,96389375,40756041,1292,4167,29584,true,true,true
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,2,15838,96574084,41303958,10958,4792,27750,true,true,true
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,3,23757,96008667,40949750,6833,3958,25000,true,true,true
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,4,31676,95195875,40725666,1167,3750,25750,true,true,true
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,5,39595,96720416,41437833,917,4084,23666,true,true,true
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,6,47514,95281500,40223584,1125,3916,25042,true,true,true
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,7,55433,95696666,41632583,1083,3958,26292,true,true,true
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,8,63352,99096208,42341125,875,4458,27000,true,true,true
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,9,71271,99401541,40819666,834,3791,25250,true,true,true
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,10,79190,95410708,40888917,1041,3875,25584,true,true,true
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,11,87109,96703875,41736791,2708,4000,25667,true,true,true
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,12,95028,98900458,42590125,1000,4417,27833,true,true,true
epoch-100000,runtimeguard-v2-canonical-20260712-release,100000,13,2947,98302625,44144792,1333,4459,27541,true,true,true
